# gmm-acc-stats-ali exp/tri3b/11.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.7.gz|" exp/tri3b/11.7.acc 
# Started at Tue May  7 16:11:18 KST 2019
#
gmm-acc-stats-ali exp/tri3b/11.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.7.gz|' exp/tri3b/11.7.acc 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- 
splice-feats ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03051 avg. like is -51.2995 over 164 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 100 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03101 avg. like is -56.4806 over 187 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 150 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03151 avg. like is -50.618 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 200 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03202 avg. like is -51.122 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 250 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03252 avg. like is -53.0443 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 300 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03303 avg. like is -51.7887 over 169 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 350 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03353 avg. like is -46.9194 over 135 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 400 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03404 avg. like is -49.6348 over 166 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 450 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03037 avg. like is -38.2833 over 160 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 500 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03087 avg. like is -45.065 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 550 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03137 avg. like is -44.5454 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 600 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03187 avg. like is -41.1189 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 650 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03238 avg. like is -42.3606 over 128 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 700 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03288 avg. like is -41.9953 over 128 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 750 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03339 avg. like is -41.2577 over 129 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 800 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03389 avg. like is -41.8409 over 94 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 850 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03022 avg. like is -46.8359 over 229 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 900 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03072 avg. like is -48.4544 over 216 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 950 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03122 avg. like is -49.4207 over 183 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1000 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03173 avg. like is -50.0238 over 185 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1050 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03223 avg. like is -49.0384 over 200 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1100 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03273 avg. like is -43.7483 over 214 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1150 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03323 avg. like is -45.3152 over 225 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1200 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03373 avg. like is -50.4728 over 249 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1250 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03007 avg. like is -43.4734 over 189 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1300 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03057 avg. like is -42.1378 over 154 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1350 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03107 avg. like is -45.4002 over 200 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1400 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03158 avg. like is -46.7181 over 205 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1450 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03208 avg. like is -46.1906 over 227 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1500 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03258 avg. like is -48.0937 over 212 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1550 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03308 avg. like is -44.2118 over 183 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1600 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03358 avg. like is -46.6868 over 183 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1650 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03410 avg. like is -45.6079 over 194 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1700 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03044 avg. like is -55.0265 over 153 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1750 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03094 avg. like is -52.3466 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1800 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03144 avg. like is -46.3073 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1850 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03194 avg. like is -50.0711 over 112 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1900 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03244 avg. like is -53.2208 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1950 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03296 avg. like is -51.5915 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2000 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03347 avg. like is -49.7112 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2050 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03397 avg. like is -54.0409 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2100 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03032 avg. like is -42.5136 over 178 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2150 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03082 avg. like is -37.8369 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2200 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03132 avg. like is -37.9039 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2250 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03182 avg. like is -42.0468 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2300 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03232 avg. like is -38.2251 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2350 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03283 avg. like is -42.0126 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2400 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03335 avg. like is -43.3151 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2450 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03385 avg. like is -39.4304 over 131 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2500 utterances; for utterance s03fc3cys01-20150803-Korean-s03a018 avg. like is -53.1328 over 307 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2550 utterances; for utterance s03fc3cys01-20150803-Korean-s03a068 avg. like is -51.6006 over 245 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2600 utterances; for utterance s03fc3cys01-20150803-Korean-s03a120 avg. like is -51.01 over 255 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2650 utterances; for utterance s03fc3cys01-20150803-Koreanfactory1SNR10-s03a029 avg. like is -44.4634 over 351 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2700 utterances; for utterance s03fc3cys01-20150803-Koreanfactory1SNR10-s03a079 avg. like is -40.2896 over 233 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2750 utterances; for utterance s03fc3cys01-20150803-Koreanfactory1SNR10-s03a131 avg. like is -42.8535 over 281 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2800 utterances; for utterance s03fg2cjk00-20150803-Korean-s03a040 avg. like is -53.1228 over 228 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2850 utterances; for utterance s03fg2cjk00-20150803-Korean-s03a090 avg. like is -56.1773 over 341 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2900 utterances; for utterance s03fg2cjk00-20150803-Korean-s03a140 avg. like is -58.866 over 224 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2950 utterances; for utterance s03fg2cjk00-20150803-KoreanhfchannelSNR10-s03a049 avg. like is -43.3853 over 256 frames.
